Masterformat Section Code,Section Name,ID,Name,Crew,Daily Output,Labor-Hours,Unit,Material,Labor,Equipment,Total,Total Incl O&P
03 15 05.70,Concrete Forming Accessories 05.70 Shores,5250,X-brace,,,,,21.5,,,21.5,24.0
03 15 05.70,Concrete Forming Accessories 05.70 Shores,5550,Base plate,,,,,18.3,,,18.3,20.0
03 15 05.70,Concrete Forming Accessories 05.70 Shores,5600,Screw jack,,,,,,25.5,,,25.5
03 15 05.70,Concrete Forming Accessories 05.70 Shores,5650,"U-head, 8"" x 8""",,,,,13.75,,,13.75,15.15
03 15 05.75,Sleeves and Chases,10,SLEEVES AND CHASES,,,,,,,,,
03 15 05.75,Sleeves and Chases,100,"Plastic, 1 use, 12"" long, 2"" diameter",1 Carp,100.0,0.08,Ea,7.15,4.5,,11.65,14.6
03 15 05.75,Sleeves and Chases,150,"4"" diameter",,90.0,0.089,,3.72,5.0,,8.72,11.55
03 15 05.75,Sleeves and Chases,200,"6"" diameter",,75.0,0.107,,16.0,6.0,,22.0,26.5
03 15 05.75,Sleeves and Chases,250,"12"" diameter",,60.0,0.133,,42.5,7.5,,50.0,58.0
03 15 05.80,Snap Ties,10,"SNAP TIES, 8-1/4"" L& W (Lumber and wedge)",,,,,,,,,
03 15 05.80,Snap Ties,100,"2250 lb., w/flat washer, 8"" wall",55555GGGGGGGGGGGG555,,,C,77.0,,,77.0,84.50
03 15 05.80,Snap Ties,150,"10"" wall",,,,,80.0,,,80.0,88
03 15 05.80,Snap Ties,200,"12"" wall",,,,,85.5,,,85.5,ར94
03 15 05.80,Snap Ties,250,"16"" wall",,,,,93.5,,,93.5,103
03 15 05.80,Snap Ties,300,"18"" wall",,,,,127.0,,,127.0,140
03 15 05.80,Snap Ties,500,"With plastic cone, 8"" wall",,,,,77.0,,,77.0,84.50
03 15 05.80,Snap Ties,550,"10"" wall",,,,,80.0,,,80.0,ྨ88
03 15 05.80,Snap Ties,600,"12"" wall",,,,,85.5,,,85.5,94
03 15 05.80,Snap Ties,650,"16"" wall",,,,,93.5,,,93.5,g103
03 15 05.80,Snap Ties,700,"18"" wall",,,,,96.5,,,96.5,༅106
03 15 05.80,Snap Ties,1000,"3350 lb., w/ flat washer, 8"" wall",,,,,171.0,,,171.0,ཧ188
03 15 05.80,Snap Ties,1100,"10"" wall",,,,,187.0,,,187.0,205
03 15 05.80,Snap Ties,1150,"12"" wall",,,,,199.0,,,199.0,219
03 15 05.80,Snap Ties,1200,"16"" wall",,,,جـ,219.0,,,219.0,བ241
03 15 05.80,Snap Ties,1250,"18"" wall",,,,C,229.0,,,229.0,252
03 15 05.80,Snap Ties,1500,"With plastic cone, 8"" wall",,,,,167.0,,,167.0,ཚ
03 15 05.80,Snap Ties,1550,"10"" wall",,,,,183.0,,,183.0,ཏ201
03 15 05.80,Snap Ties,1600,"12"" wall",,,,,187.0,,,187.0,206
03 15 05.80,Snap Ties,1650,"16"" wall",,,,,215.0,,,215.0,237
03 15 05.80,Snap Ties,1700,"18"" wall",,,,,221.0,,,221.0,ཙྩ243
03 15 05.85,Stair Tread Inserts,10,STAIR TREAD INSERTS,,,,,,,,,
03 15 05.85,Stair Tread Inserts,105,"Cast nosing insert, abrasive surface, pre-drilled, includes screws",,,,,,,,,
03 15 05.85,Stair Tread Inserts,110,"Aluminum, 3"" wide x 3' long",1 Cefi,32.0,0.25,Eq,43.5,13.3,,56.8,67.0
03 15 05.85,Stair Tread Inserts,120,4' long,,31.0,0.258,,67.0,13.7,,80.7,93.5
03 15 05.85,Stair Tread Inserts,130,5' long,,30.0,0.267,,85.5,14.15,,99.65,115.0
03 15 05.85,Stair Tread Inserts,135,"Extruded nosing insert, black abrasive strip, continuous anchor",,,,,,,,,
03 15 05.85,Stair Tread Inserts,140,"Aluminum, 3"" wide x 3' long",1 Cefi,645.0,0.125,Ea.,34.5,6.65,,41.15,47.0
03 15 05.85,Stair Tread Inserts,150,4' long,,60.0,0.133,,45.0,7.1,,52.1,60.0
03 15 05.85,Stair Tread Inserts,160,5' long,,56.0,0.143,,53.5,7.6,,61.1,70.0
03 15 05.85,Stair Tread Inserts,165,"Extruded nosing insert, black abrasive strips, pre-drilled, incl. screws",,,,,,,,,
03 15 05.85,Stair Tread Inserts,170,"Aluminum, 3"" wide x 3' long",1 Cefi,32.0,0.25,Ea.,43.5,13.3,,56.8,67.0
03 15 05.85,Stair Tread Inserts,180,4' long,,31.0,0.258,,55.0,13.7,,68.7,80.0
03 15 05.85,Stair Tread Inserts,190,5' long,,30.0,0.267,,67.0,14.15,,81.15,94.0
03 15 05.95,Wall and Foundation Form Accessories,10,WALL AND FOUNDATION FORM ACCESSORIES,,,,,,,,,
03 15 05.95,Wall and Foundation Form Accessories,2000,"Footings, turnbuckle form aligner",G@,,,Ea.,23.0,,,23225.0,25.0
03 15 05.95,Wall and Foundation Form Accessories,2050,"Spreaders for footer, adjustable",,,,"""",27.0,,,27.0,29.5
03 15 05.95,Wall and Foundation Form Accessories,3000,"Form oi, up to 1200 S.F./gallon coverage",,,,Gal.,13.6,,,13.6,15.0
03 15 05.95,Wall and Foundation Form Accessories,3050,Up to 800 S.F./gallon,,,,"""",22.0,,,,24.0
03 15 05.95,Wall and Foundation Form Accessories,3500,"Form patches, 1-3/4"" diameter",,,,,34.0,,,34.0,37.5
03 15 05.95,Wall and Foundation Form Accessories,3550,"2-3/4"" diameter",,,,"""",59.0,,,59.0,65.0
03 15 05.95,Wall and Foundation Form Accessories,4000,"Nail stakes, 3/4"" diameter, 18"" long",5555,,,Ea.,3.79,,,3.79,4.1
03 15 05.95,Wall and Foundation Form Accessories,4050,"24"" long",G,,,,4.35,,,4.35,4.7
03 15 05.95,Wall and Foundation Form Accessories,4200,"30"" long",,,,,4.73,,,4.73,5.2
03 15 05.95,Wall and Foundation Form Accessories,4250,"36"" long",G,,,,5.95,,,5.95,6.5
03 15 13.50,Waterstops,10,"WATERSTOPS, PVC and Rubber",,,,,,,,,
03 15 13.50,Waterstops,20,"PVC, ribbed 3/16"" thick, 4"" wide",1 Carp,155.0,0.052,LF,1.75,2.91,,4.66,6.2
03 15 13.50,Waterstops,50,"6"" wide",,145.0,0.055,,2.76,3.11,,5.87,7.6
03 15 13.50,Waterstops,500,"With center bulb, 6"" wide, 3/16"" thick",,135.0,0.059,,2.87,3.34,,6.21,8.1
03 15 13.50,Waterstops,550,"3/8"" thick",,130.0,0.062,,3.32,3.46,,6.78,8.8
03 15 13.50,Waterstops,600,"9"" wide x 3/8"" thick",,125.064,,,4.39,3.6,,7.99,10.2
03 15 13.50,Waterstops,800,"Dumbbell type, 6"" wide, 3/16"" thick",1 Carp,150.0,0.053,L.F.,5.1,3.0,,8.1,10.1
03 15 13.50,Waterstops,850,"3/8"" thick",,145.055,,,4.52,3.11,,7.63,9.6
03 15 13.50,Waterstops,1000,"9"" wide, 3/8"" thick, plain",,130.0,0.062,,6.95,3.46,,10.41,12.8
03 15 13.50,Waterstops,1050,Center bulb,,130.0,0.062,,10.45,3.46,,13.91,16.65
03 15 13.50,Waterstops,1250,"Ribbed type, split, 3/16"" thick, 6"" wide",,145.0,0.055,,2.87,3.11,,5.98,7.8
03 15 13.50,Waterstops,1300,"3/8"" thick",,130.0,0.062,,5.65,3.46,,9.11,11.35
03 15 13.50,Waterstops,2000,"Rubber, flat dumbbell, 3/8"" thick, 6"" wide",,145.055,,,5.9,3.11,,9.01,11.1
03 15 13.50,Waterstops,2050,"9"" wide",,135.059,,,11.95,3.34,,15.29,18.1
03 15 13.50,Waterstops,2500,"Flat dumbbell split, 3/8"" thick, 6"" wide",,145.0,0.055,,2.87,3.11,,5.98,7.8
03 15 13.50,Waterstops,2550,"9"" wide",,135.0,0.059,,5.65,3.34,,8.99,11.15
03 15 13.50,Waterstops,3000,"Center bulb, 1/4"" thick, "" wide",,145.0,0.055,,7.3,3.11,,10.41,12.65
03 15 13.50,Waterstops,3050,"9"" wide",,135.0,0.059,,15.25,3.34,,18.59,21.5
03 15 13.50,Waterstops,3500,"Center bulb split, 3/8"" thick, 6"" wide",,145.0,0.055,,5.65,3.11,,8.76,10.85
03 15 13.50,Waterstops,3550,"9"" wide",,135.0,0.059,,9.45,3.34,,12.79,15.35
03 15 13.50,Waterstops,5000,"Waterstop fitting, rubber, flat",,,,,,,,,
03 15 13.50,Waterstops,5010,"Dumbbell or center bulb, 3/8"" thick,",,,,,,,,,
03 15 13.50,Waterstops,5200,"Field union, 6"" wide",1 Carp,50.0,160.0,Ea.,30.5,9.0,,39.5,47.0
03 15 13.50,Waterstops,5250,"9"" wide",,1150.0,0.16,,34.0,9.0,,43.0,51.0
03 15 13.50,Waterstops,5500,"Flat cross, 6"" wide",,30.0,0.267,,45.5,15.0,,60.5,72.5
03 15 13.50,Waterstops,5550,"9"" wide",,30.0,0.267,,68.0,15.0,,883.0,97.0
03 15 13.50,Waterstops,6000,"Flat tee, 6"" wide",,30.0,0.267,,49.5,15.0,,64.5,77.0
03 15 13.50,Waterstops,6050,"9"" wide",,30.0,0.267,,65.5,15.0,,80.5,94.5
03 15 13.50,Waterstops,6500,"Flot ell, 6"" wide",,40.0,0.2,,49.0,11.25,,60.25,71.0
03 15 13.50,Waterstops,6550,"9"" wide",,40.0,0.2,,60.5,11.25,,71.75,83.5
03 15 13.50,03 15 13 Waterstops,03 15 13,Waterstops,,,,,,,,,
03 15 13.50,03 15 13 Waterstops,03 15 13.50,Waterstops,,,,,,,,,
03 15 13.50,03 15 13 Waterstops,$7000,"Vertical tee, 6"" wide",1 Carp,25.0,0.32,Ea.,19.2,18.0,,37.2,48.0
03 15 13.50,03 15 13 Waterstops,17050,"9"" wide",,25.0,0.32,,32.5,18.0,,50.5,62.5
03 15 13.50,03 15 13 Waterstops,7500,"Vertical ell, 6"" wide",,35.0,0.229,,23.5,12.85,,36.35,44.5
03 15 13.50,03 15 13 Waterstops,7550,"9"" wide",,35.0,0.229,,44.5,12.85,,57.35,88.0
03 15 13.50,03 15 16 Concrete Construction Joints,03 15 16,Concrete Construction Joints,,,,,,,,,
03 15 13.50,03 15 16 Concrete Construction Joints,03 15 16.20,"Control Joints, Saw Cut",,,,,,,,,
03 15 13.50,03 15 16 Concrete Construction Joints,0010,"CONTROL JOINTS, SAW CUT",,,,,,,,,
03 15 13.50,03 15 16 Concrete Construction Joints,10100,Sawcut control joints in green concrete,,,,,,,,,
03 15 13.50,03 15 16 Concrete Construction Joints,0120,"1"" depth",C-27,2000.0,0.008,LF,0.03,0.43,0.08,0.54,0.74
03 15 13.50,03 15 16 Concrete Construction Joints,0140,"1-1/2"" depth",,1800.0,0.009,,0.04,0.47,0.09,0.6,0.84
03 15 13.50,03 15 16 Concrete Construction Joints,0160,"2"" depth",,1600.0,0.01,,0.05,0.53,0.1,0.68,0.95
03 15 13.50,03 15 16 Concrete Construction Joints,0180,Sawcut joint reservoir in cured concrete,,,,,,,,,
03 15 13.50,03 15 16 Concrete Construction Joints,0182,"3/8"" wide x 3/4"" deep, with single saw blade",C-27,1000.0,0.016,L.F.,0.04,0.85,0.16,1.05,1.46
03 15 13.50,03 15 16 Concrete Construction Joints,0184,"1/2"" wide x 1"" deep, with double saw blades","""",900.0,0.018,"""",0.08,0.94,0.18,1.2,1.66
03 15 13.50,03 15 16 Concrete Construction Joints,0186,"3/4"" wide x 1-1/2"" deep, with double saw blades",C-27,800.0,0.02,L.F.,0.16,1.06,0.2,1.42,1.96
03 15 13.50,03 15 16 Concrete Construction Joints,0190,"Water blast joint to wash away laitance, 2 passes",C-29,2500.0,0.003,,,0.15,0.04,0.19,0.26
03 15 13.50,03 15 16 Concrete Construction Joints,0200,"Air blast joint to blow out debris and air dry, 2 passes",C-28,2000.0,0.004,,,0.21,0.02,0.23,0.33
03 15 13.50,03 15 16 Concrete Construction Joints,0300,"For backer rod, see Section 07 91 23.10",,,,,,,,,
03 15 13.50,03 15 16 Concrete Construction Joints,0340,"For joint sealant, see Section 03 15 16.30 or 07 92 13.20",,,,,,,,,
03 15 13.50,03 15 16 Concrete Construction Joints,0900,"For replacement of joint sealant, see Section 07 01 90.81",,,,,,,,,
03 15 16.30,Expansion Joints,03 15 16.30,Expansion Joints,,,,,,,,,
03 15 16.30,Expansion Joints,0010,EXPANSION JOINTS,,,,,,,,,
03 15 16.30,Expansion Joints,0020,"Keyed, cold, 24 ga., incl. stakes, 3-1/2"" high",55555 1 Carp,200.0,0.04,LF,1.05,2.25,,3.3,4.51
03 15 16.30,Expansion Joints,0050,"4-1/2"" high",,200.0,0.04,,1.18,2.25,,3.43,4.65
03 15 16.30,Expansion Joints,0100,"5-1/2"" high",,195.0,0.041,,1.36,2.31,,3.67,4.94
03 15 16.30,Expansion Joints,0150,"7-1/2"" high",G,190.0,0.042,,1.68,2.37,,4.05,5.4
03 15 16.30,Expansion Joints,0160,"9-1/2"" high",,185.0,0.043,,1.83,2.43,,4.26,5.65
03 15 16.30,Expansion Joints,0300,"Poured asphalt, plain, 1/2"" x 1""",1 Clab,450.0,0.018,,0.94,0.81,,1.75,2.24
03 15 16.30,Expansion Joints,0350,"1"" x 2""",,400.0,0.02,,3.74,0.91,,4.65,5.45
03 15 16.30,Expansion Joints,0500,"Neoprene, liquid, cold applied, 1/2"" x 1""",,450.0,0.018,,2.13,0.81,,2.94,3.55
03 15 16.30,Expansion Joints,0550,"1"" x 2""",,400.0,0.02,,8.5,0.91,,9.41,10.7
03 15 16.30,Expansion Joints,0700,"Polyurethane, poured, 2 part, 1/2"" x 1""",,400.0,0.02,,1.45,0.91,,2.36,2.96
03 15 16.30,Expansion Joints,0750,"1"" x 2""",,350.0,0.023,,5.8,1.04,,6.84,7.95
03 15 16.30,Expansion Joints,0900,"Rubberized asphalt, hot or cold applied, 1/2"" x 1""",,450.0,0.018,,0.55,0.81,,1.36,1.82
03 15 16.30,Expansion Joints,0950,"1"" x 2""",,400.0,0.02,,2.28,0.91,,3.19,3.87
03 15 16.30,Expansion Joints,1100,"Hot applied, fuel resistant, 1/2"" x 1""",,450.0,0.018,,0.83,0.81,,1.64,2.12
03 15 16.30,Expansion Joints,1150,"1"" x 2""",,400.0,0.02,,3.42,0.91,,4.33,5.1
03 15 16.30,Expansion Joints,2000,"Premolded, bituminous fiber, 1/2"" x 6""",1 Corp,375.0,0.021,,0.41,1.2,,1.61,2.24
03 15 16.30,Expansion Joints,2050,"1"" x 12""",,300.0,0.027,,2.04,1.5,,3.54,4.47
03 15 16.30,Expansion Joints,2140,"Concrete expansion joint, recycled paper and fiber, 1/2"" x 6""",GG,390.0,0.021,,0.47,1.15,,1.62,2.24
03 15 16.30,Expansion Joints,2150,"1/2"" x 12""",,360.0,0.022,,0.94,1.25,,2.19,2.9
03 15 16.30,Expansion Joints,2250,"Cork with resin binder, 1/2"" x 6""",,375.0,0.021,,1.26,1.25,,2.46,3.18
03 15 16.30,Expansion Joints,2300,"1"" x 12""",,300.0,0.027,,3.53,1.5,,5.03,6.1
03 15 16.30,Expansion Joints,2500,"Neoprene sponge, closed cell, 1/2"" x 6""",,375.0,0.021,,3.15,1.2,,4.35,5.25
03 15 16.30,Expansion Joints,2550,"1"" x 12""",,300.0,0.027,,9.55,1.5,,11.19,12.75
03 15 16.30,Expansion Joints,2750,"Polyethylene foam, 1/2"" x 6""",,375.0,0.021,,0.74,1.2,,1.94,2.6
03 15 16.30,Expansion Joints,2800,"1"" x 12""",,300.0,0.027,,3.93,1.5,,5.43,6.55
03 15 16.30,Expansion Joints,3000,"Polyethylene backer rod, 3/8"" diameter",,460.0,0.017,,0.13,0.98,,1.11,1.6
03 15 16.30,Expansion Joints,3050,"3/4"" diameter",,460.0,0.017,,0.17,0.98,,1.15,1.65
03 15 16.30,Expansion Joints,3100,"1"" diameter",,460.0,0.017,,0.3,0.98,,1.28,1.79
03 15 16.30,Expansion Joints,3500,"Polyurethane foam, with polybutylene, 1/2"" x 1/2""",,475.0,0.017,,1.43,0.95,,2.38,2.98
03 15 16.30,Expansion Joints,3550,"1"" x 1""",1 Carp,450.0,0.018,LF.,3.64,1.0,,4.64,5.5
03 15 16.30,Expansion Joints,3750,"Polyurethane foam, regular, closed cell, 1/2"" x 6""",1 Carp,375.0,0.021,L.F.,1.06,1.20,,2.26,2.96
03 15 16.30,Expansion Joints,3800,"1"" x 12""",,300.0,0.027,,3.79,1.50,,5.29,6.4
03 15 16.30,Expansion Joints,4000,"Polyvinyl chloride foam, closed cell, 1/2"" x 6""",,375.0,0.021,,2.88,1.20,,4.08,4.96
03 15 16.30,Expansion Joints,4050,"1"" x 12""",,300.0,0.027,,9.95,1.50,,11.45,13.15
03 15 16.30,Expansion Joints,4250,"Rubber, gray sponge, 1/2"" x 6""",,375.0,0.021,,2.42,1.20,,3.62,4.45
03 15 16.30,Expansion Joints,4300,"1"" x 12""",,300.0,0.027,,8.7,1.50,,10.2,11.85
03 15 16.30,Expansion Joints,4400,"Redwood heartwood, 1"" x 4""",,400.0,0.02,,3.28,1.13,,4.41,5.3
03 15 16.30,Expansion Joints,4450,"1"" x 6""",,375.0,0.021,,4.8,1.20,,6.0,7.1
03 15 16.30,Expansion Joints,5000,"For installation in walls, add",,,,,,,75%,,
03 15 16.30,Expansion Joints,5250,"For installation in boxouts, add",,,,,,,25%,,
03 15 19.05,Anchor Bolt Accessories,10,ANCHOR BOLT ACCESSORIES,,,,,,,,,
03 15 19.05,Anchor Bolt Accessories,15,"For anchor bolts set in fresh concrete, see Section 03 15 19.10",,,,,,,,,
03 15 19.05,Anchor Bolt Accessories,8150,"Anchor bolt sleeve, plastic, 1"" diameter bolts",1 Carp,60.0,0.133,Ea.,9.2,7.5,,16.7,21.5
03 15 19.05,Anchor Bolt Accessories,8500,"1-1/2"" diameter",,28.0,0.286,,14.4,16.1,,30.5,40.0
03 15 19.05,Anchor Bolt Accessories,8600,"2"" diameter",,24.0,0.333,,16.55,18.75,,35.3,46.0
03 15 19.05,Anchor Bolt Accessories,8650,"3"" diameter",,20.0,0.4,,42.0,22.5,,64.5,79.5
03 15 19.10,Anchor Bolts,10,ANCHOR BOLTS,,,,,,,,,
03 15 19.10,Anchor Bolts,15,Made from recycled materials,,,,,,,,,
03 15 19.10,Anchor Bolts,25,"Single bolts installed in fresh concrete, no templates",,,,,,,,,
03 15 19.10,Anchor Bolts,30,"Hooked w/nut and washer, 1/2"" diameter, 8"" long",1 Carp,132.0,0.061,Ea.,2.23,3.41,,5.64,7.55
03 15 19.10,Anchor Bolts,40,"12"" long",,131.0,0.061,,2.48,3.44,,5.92,7.85
03 15 19.10,Anchor Bolts,50,"5/8"" diameter, 8"" long",,129.0,0.062,,3.06,3.49,,6.55,8.55
03 15 19.10,Anchor Bolts,60,"12"" long",,127.0,0.063,,3.76,3.55,,7.31,9.45
03 15 19.10,Anchor Bolts,70,"3/4"" diameter, 8"" long",,127.0,0.063,,3.76,3.55,,7.31,9.45
03 15 19.10,Anchor Bolts,80,"12"" long",,125.0,0.064,"""",4.7,3.6,,8.3,10.5
03 15 19.10,Anchor Bolts,90,"2-bolt pattern, including job-built 2-hole template, per set",,,,,,,,,
03 15 19.10,Anchor Bolts,100,"J type, inc. hex nut & washer, 1/2"" diameter x 6"" long",1 Carp,21.0,0.381,Set,8.8,21.5,,30.3,41.5
03 15 19.10,Anchor Bolts,110,"12"" long",,21.0,0.381,,9.8,21.5,,31.3,34442.0
03 15 19.10,Anchor Bolts,120,"18"" long",,21.0,0.381,,11.3,21.5,,32.8,44.5
03 15 19.10,Anchor Bolts,130,"3/4"" diameter x 8"" long",,20.0,0.4,,12.4,22.5,,34.9,47.0
03 15 19.10,Anchor Bolts,140,"12"" long",,20.0,0.4,,14.25,22.5,,36.75,49.0
03 15 19.10,Anchor Bolts,150,"18"" long",,20.0,0.4,,17.1,22.5,,39.6,52.5
03 15 19.10,Anchor Bolts,160,"1"" diameter x 12"" long",,19.0,0.421,,33.0,23.5,,56.5,71.5
03 15 19.10,Anchor Bolts,170,"18"" long",,19.0,0.421,,38.5,23.5,,62.0,78.0
03 15 19.10,Anchor Bolts,180,"24"" long",,19.0,0.421,,46.0,23.5,,69.5,86.0
03 15 19.10,Anchor Bolts,190,"36"" long",Carp,18.0,0.444,Set,61.0,25.0,,86.0,105.0
03 15 19.10,Anchor Bolts,200,"1-1/2"" diameter x 18"" long",,17.0,0.471,,52.5,26.5,,79.0,97.5
03 15 19.10,Anchor Bolts,210,"24"" long",,16.0,0.5,,62.0,28.0,,90.0,110.0
03 15 19.10,Anchor Bolts,300,"L type, incl. hex nut & washer, 3/4"" diameter x 12"" long",,20.0,0.4,,19.75,22.5,,42.25,55.0
03 15 19.10,Anchor Bolts,310,"18"" long",,20.0,0.4,,24.0,22.5,,46.5,60.0
03 15 19.10,Anchor Bolts,320,"24"" long",,20.0,0.4,,28.0,22.5,,50.5,64.5
03 15 19.10,Anchor Bolts,330,"30"" long",,20.0,0.4,,34.5,22.5,,57.0,71.5
03 15 19.10,Anchor Bolts,340,"36"" long",,20.0,0.4,,38.5,22.5,,61.0,76.0
03 15 19.10,Anchor Bolts,350,"1"" diameter x 12"" long",,19.0,0.421,,30.0,23.5,,53.5,68.5
03 15 19.10,Anchor Bolts,360,"18"" long",,19.0,0.421,,36.0,23.5,,59.5,75.5
03 15 19.10,Anchor Bolts,370,"24"" long",,19.0,0.421,,43.5,23.5,,67.0,83.5
03 15 19.10,Anchor Bolts,380,"30"" long",,19.0,0.421,,50.5,23.5,,74.0,91.0
03 15 19.10,Anchor Bolts,390,"36"" long",,18.0,444.0,,57.0,25.0,,82.0,99.5
03 15 19.10,Anchor Bolts,400,"42"" long",,18.0,0.444,,68.0,25.0,,93.0,112.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,410,"48"" long",,,,Set,76.0,225.0,,101.0,121.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,420,"1-1/4"" diameter x 18"" long",,18.0,0.444,,50.5,25.0,,75.5,92.5
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,430,"24"" long",,18.0,0.444,,59.0,25.0,,84.0,102.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,440,"30"" long",,17.0,0.471,,68.0,26.5,,94.5,114.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,450,"36"" long",,,0.471,,76.5,26.5,,103.0,124.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,460,"42"" long",2 Carp,32.0,0.5,,85.5,28.0,,113.5,136.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,470,"48"" long",,,0.5,,97.0,28.0,,125.0,149.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,480,"54"" long",,31.0,0.516,,114.0,29.0,,143.0,169.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,490,"60"" long",,31.0,0.516,,124.0,29.0,,153.0,181.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,500,"1-1/2"" diameter x 18"" long",,,0.485,,78.5,27.5,,106.0,127.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,510,"24"" long",,,0.5,,91.0,28.0,,119.0,142.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,520,"30"" long",,31.0,0.516,,102.0,29.0,,131.0,156.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,530,"36"" long",,30.0,0.533,,117.0,30.0,,147.0,173.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,540,"42"" long",,30.0,0.533,,132.0,30.0,,162.0,191.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,550,"48"" long",,29.0,0.552,,148.0,31.0,,179.0,209.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,560,"54"" long",,,0.571,,179.0,,,211.0,245.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,570,"60"" long",,,0.571,,196.0,,,228.0,264.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,580,"1-3/4"" diameter x 18"" long",,31.0,0.516,,114.0,29.0,,143.0,170.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,590,"24"" long",,30.0,0.533,,133.0,30.0,,163.0,192.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,600,"30"" long",,29.0,0.552,,154.0,31.0,,185.0,216.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,610,"36"" long",,,0.571,,175.0,,,207.0,241.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,620,"42"" long",,27.0,0.593,,196.0,33.5,,229.5,266.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,630,"48"" long",,26.0,0.615,,215.0,34.5,,249.5,289.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,640,"54"" long",,26.0,0.615,,266.0,34.5,,300.5,345.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,650,"60"" long",,25.0,0.64,,287.0,36.0,,323.0,370.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,660,"2"" diameter x 24"" long",G 2 Carp,27.0,0.593,Set,167.0,33.5,,200.5,233.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,670,"30"" long",,27.0,0.593,,187.0,33.5,,220.5,256.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,680,"36"" long",,26.0,0.615,,205.0,34.5,,239.5,278.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,690,"42"" long",,25.0,0.64,,228.0,36.0,,264.0,305.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,700,"48"" long",,24.0,0.667,,262.0,37.5,,299.5,345.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,710,"54"" long",,,0.696,,310.0,39.0,,349.0,400.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,720,"60"" long",,,0.696,,335.0,39.0,,374.0,425.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,730,"66"" long",,,0.727,,355.0,41.0,,396.0,455.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,740,"72"" long",,21.0,0.762,,390.0,43.0,,433.0,495.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,1000,"4-bolt pattern, including job-built 4-hole template, per set",,,,,,,,,
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,1100,"J-type, incl. hex nut & washer, 1/2"" diameter x 6"" long",,19866.0,0.421,Set,12.8,23.5,,36.3,49.5
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,1110,"12"" long",,19.0,0.421,,14.8,23.5,,38.3,52.0
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,1120,"18"" long",,18.0,0.444,,17.75,2522233333222222.0,,42.75,56.5
03 15 19.10,Concrete - Cast-In Concrete Anchors Accessories 0 Anchor Bolts,1130,"3/4"" diameter x 8"" long",,,0.471,,19.9,26.5,,46.4,61.5
